,epoch,x,y
235,1,35,24
236,1,36,26
237,1,37,26
238,1,38,34
239,1,39,33
240,1,40,30
241,1,41,29
242,1,42,28
243,1,43,28
244,1,44,39
245,1,45,33
246,1,46,36
247,1,47,38
248,1,48,34
249,1,49,29
250,1,50,42
251,1,51,36
252,1,52,29
253,1,53,33
254,1,54,34
255,1,55,37
256,1,56,31
257,1,57,33
258,1,58,41
259,1,59,45
260,1,60,36
261,1,61,54
262,1,62,38
263,1,63,41
264,1,64,42
265,1,65,46
266,1,66,42
267,1,67,39
268,1,68,45
269,1,69,42
270,1,70,56
271,1,71,47
272,1,72,48
273,1,73,45
274,1,74,48
275,1,75,49
276,1,76,67
277,1,77,54
278,1,78,50
279,1,79,53
280,1,80,37
281,1,81,52
282,1,82,54
283,1,83,43
284,1,84,44
285,1,85,49
286,1,86,51
287,1,87,48
288,1,88,59
289,1,89,56
290,1,90,51
291,1,91,60
292,1,92,55
293,1,93,56
294,1,94,64
295,1,95,49
296,1,96,64
297,1,97,66
298,1,98,62
299,1,99,70
300,1,100,65
301,1,101,56
302,1,102,84
303,1,103,54
304,1,104,68
305,1,105,54
306,1,106,75
307,1,107,63
308,1,108,74
309,1,109,58
310,1,110,75
311,1,111,67
312,1,112,71
313,1,113,66
314,1,114,75
315,1,115,65
316,1,116,75
317,1,117,71
318,1,118,77
319,1,119,73
320,1,120,66
321,1,121,75
322,1,122,70
323,1,123,70
324,1,124,89
325,1,125,102
326,1,126,77
327,1,127,74
328,1,128,79
329,1,129,76
330,1,130,74
331,1,131,79
332,1,132,84
333,1,133,84
334,1,134,89
335,1,135,80
336,1,136,85
337,1,137,73
338,1,138,75
339,1,139,92
340,1,140,81
341,1,141,79
342,1,142,79
343,1,143,81
344,1,144,78
345,1,145,84
346,1,146,89
347,1,147,86
348,1,148,82
349,1,149,90
350,1,150,100
351,1,151,90
352,1,152,93
353,1,153,86
354,1,154,90
355,1,155,97
356,1,156,91
357,1,157,83
358,1,158,81
